iter	MultiClass
389	0.3832013085
390	0.3830651345
391	0.3829601932
392	0.3829043081
393	0.382864687
394	0.3827806782
395	0.3826911902
396	0.3825251126
397	0.382403115
398	0.3823510599
399	0.3822096814
400	0.3821446334
401	0.3820363764
402	0.3817348156
403	0.3815596587
404	0.3811877542
405	0.3810497947
406	0.3808396946
407	0.3806834362
408	0.3804278622
409	0.3802753163
410	0.3801484643
411	0.3799896346
412	0.3799125188
413	0.3798596886
414	0.3795783762
415	0.3793150596
416	0.3790698652
417	0.3788668495
418	0.3786507125
419	0.3784083786
420	0.3783174553
421	0.3782080209
422	0.37784445
423	0.3776534658
424	0.3773835456
425	0.377287882
426	0.3771967854
427	0.376980881
428	0.3769137645
429	0.3767437683
430	0.3766517461
431	0.3764991999
432	0.3762227461
433	0.3761070461
434	0.3759936921
435	0.3758929319
436	0.3758389418
437	0.3757506638
438	0.3755692227
439	0.3752825789
440	0.3751362464
441	0.3749255535
442	0.3748765144
443	0.3747906731
444	0.3745062717
445	0.3744355332
446	0.3743041443
447	0.3741196875
448	0.3739040937
449	0.3738505849
450	0.3737965589
451	0.3736916777
452	0.373516112
453	0.3733996932
454	0.3732995641
455	0.3732232142
456	0.373093467
457	0.372884619
458	0.3726949127
459	0.3725132673
460	0.3723847101
461	0.3722799227
462	0.3721786748
463	0.3720371186
464	0.3719664963
465	0.3717846035
466	0.3716003641
467	0.3714432756
468	0.3711644082
469	0.3710266749
470	0.3709369527
471	0.3707975184
472	0.3707051387
473	0.370519478
474	0.3704120256
475	0.3703378128
476	0.3701201678
477	0.3700903952
478	0.370049234
479	0.3699472161
480	0.3697394691
481	0.3696687829
482	0.3696174094
483	0.3695468286
484	0.3695130058
485	0.3694067678
486	0.3692715707
487	0.3691661445
488	0.3691052487
489	0.3690212821
490	0.3688175596
491	0.3687691471
492	0.3686378759
493	0.3685336526
494	0.3684392881
495	0.3682698717
496	0.3681831614
497	0.368063536
498	0.3678945006
499	0.3675605429
500	0.3673061589
501	0.3672712661
502	0.3671958784
503	0.3671331344
504	0.3669683767
505	0.3667478413
506	0.3666387711
507	0.3665342916
508	0.3664268424
509	0.366351111
510	0.3661924761
511	0.3660719356
512	0.365971584
513	0.3658523859
514	0.3657214033
515	0.3655118431
516	0.3654749341
517	0.3653873744
518	0.3652050187
519	0.3651240343
520	0.3649835746
521	0.3648501753
522	0.3646946822
523	0.3646492236
524	0.3645502716
525	0.3642431917
526	0.3640184415
527	0.3638404633
528	0.3636357054
529	0.3635854245
530	0.3635162884
531	0.3633902922
532	0.3633298952
533	0.3631444164
534	0.3630479168
535	0.3629603019
536	0.3628227915
537	0.362531666
538	0.362454098
539	0.362295899
540	0.3621574812
541	0.362101958
542	0.3619959248
543	0.3618450515
544	0.3618068576
545	0.3617065571
546	0.3616337998
547	0.3614714905
548	0.3613912198
549	0.3612996216
550	0.3611985916
551	0.3609829605
552	0.3609334018
553	0.3608248248
554	0.3607389373
555	0.3606211094
556	0.3604847366
557	0.360426641
558	0.360335882
559	0.3600071213
560	0.3599166609
561	0.3598516885
562	0.3597105735
563	0.3596046591
564	0.3595566814
565	0.3593419711
566	0.3592395548
567	0.359085815
568	0.3589626376
569	0.3588891697
570	0.3587791884
571	0.358711543
572	0.3586796646
573	0.3586350129
574	0.358540617
575	0.3584075532
576	0.3582613285
577	0.3581320403
578	0.3580245508
579	0.3579140454
580	0.3578095401
581	0.3577306169
582	0.3575627637
583	0.3574897877
584	0.3573732635
585	0.3573032006
586	0.3572392774
587	0.3571283308
588	0.3570062208
589	0.3569527238
590	0.3568898143
591	0.3568384325
592	0.3567987544
593	0.3565119743
594	0.3560328116
595	0.3557716966
596	0.3556969359
597	0.3555731661
598	0.3554900516
599	0.3554464437
600	0.3553521124
601	0.3550852864
602	0.3549710663
603	0.3548729243
604	0.3547889958
605	0.3546874958
606	0.3546019221
607	0.3545570127
608	0.3544099003
609	0.3542935101
610	0.3542460129
611	0.3540160921
612	0.3539680544
613	0.3538528217
614	0.3537383048
615	0.3536940944
616	0.3535645939
617	0.3533840547
618	0.3532992118
619	0.3532386728
620	0.3531009552
621	0.3530126119
622	0.3529767075
623	0.3527704164
624	0.3526597941
625	0.3525708048
626	0.3524959275
627	0.3523913632
628	0.3523709308
629	0.3522636477
630	0.3522085408
631	0.3521880688
632	0.3519903189
633	0.3518604395
634	0.3518022423
635	0.3516964891
636	0.3516343472
637	0.3516053168
638	0.3514501854
639	0.3513143981
640	0.3511897271
641	0.3510861992
642	0.3509162194
643	0.3508713718
644	0.3508516204
645	0.350614946
646	0.3505214172
647	0.3503771805
648	0.3503247048
649	0.3502109211
650	0.3501785603
651	0.3500542192
652	0.350016385
653	0.3499045907
654	0.3496382072
655	0.349530376
656	0.3494658876
657	0.3492869963
658	0.3491645448
659	0.3491397571
